"","month","SettlementPoint","year","AvgPrice"
"189",4,"HB_SOUTH",2019,22.4633333333333
"190",4,"HB_WEST",2016,16.86275
"191",4,"HB_WEST",2017,19.9960972222222
"192",4,"HB_WEST",2018,17.156625
"193",4,"HB_WEST",2019,19.551875
"194",4,"LZ_AEN",2016,18.2560694444444
"195",4,"LZ_AEN",2017,24.1180833333333
"196",4,"LZ_AEN",2018,22.1884861111111
"197",4,"LZ_AEN",2019,23.2703472222222
"198",4,"LZ_CPS",2016,19.0693611111111
"199",4,"LZ_CPS",2017,25.3379027777778
"200",4,"LZ_CPS",2018,26.535375
"201",4,"LZ_CPS",2019,25.3635972222222
"202",4,"LZ_HOUSTON",2016,19.1289305555556
"203",4,"LZ_HOUSTON",2017,32.9670694444444
"204",4,"LZ_HOUSTON",2018,24.7283472222222
"205",4,"LZ_HOUSTON",2019,24.2645833333333
"206",4,"LZ_LCRA",2016,18.3927083333333
"207",4,"LZ_LCRA",2017,24.4774166666667
"208",4,"LZ_LCRA",2018,22.6440277777778
"209",4,"LZ_LCRA",2019,23.3147638888889
"210",4,"LZ_NORTH",2016,19.0876388888889
"211",4,"LZ_NORTH",2017,21.9758055555556
"212",4,"LZ_NORTH",2018,24.3668888888889
"213",4,"LZ_NORTH",2019,23.7184305555556
"214",4,"LZ_RAYBN",2016,18.8553611111111
"215",4,"LZ_RAYBN",2017,22.2134305555556
"216",4,"LZ_RAYBN",2018,27.198875
"217",4,"LZ_RAYBN",2019,24.9983055555556
"218",4,"LZ_SOUTH",2016,20.738
"219",4,"LZ_SOUTH",2017,28.5498888888889
"220",4,"LZ_SOUTH",2018,28.1869722222222
"221",4,"LZ_SOUTH",2019,27.1478333333333
"222",4,"LZ_WEST",2016,17.1536666666667
"223",4,"LZ_WEST",2017,20.3885694444444
"224",4,"LZ_WEST",2018,21.128125
"225",4,"LZ_WEST",2019,21.6992361111111
"226",5,"HB_BUSAVG",2016,18.1595833333333
"227",5,"HB_BUSAVG",2017,25.0873521505376
"228",5,"HB_BUSAVG",2018,34.0052419354839
"229",5,"HB_BUSAVG",2019,23.9599327956989
"230",5,"HB_HOUSTON",2016,19.1740860215054
"231",5,"HB_HOUSTON",2017,31.5331720430108
"232",5,"HB_HOUSTON",2018,34.1475537634409
"233",5,"HB_HOUSTON",2019,24.7942741935484
"234",5,"HB_HUBAVG",2016,18.247002688172
"235",5,"HB_HUBAVG",2017,25.9050268817204
"236",5,"HB_HUBAVG",2018,32.8348521505376
"237",5,"HB_HUBAVG",2019,23.8837634408602
"238",5,"HB_NORTH",2016,17.9056317204301
"239",5,"HB_NORTH",2017,23.4199193548387
"240",5,"HB_NORTH",2018,35.3061424731183
"241",5,"HB_NORTH",2019,23.9788844086022
"242",5,"HB_PAN",2019,16.4143279569892
"243",5,"HB_SOUTH",2016,18.5704569892473
"244",5,"HB_SOUTH",2017,26.4950134408602
"245",5,"HB_SOUTH",2018,34.2260752688172
"246",5,"HB_SOUTH",2019,24.0599462365591
"247",5,"HB_WEST",2016,17.3376747311828
"248",5,"HB_WEST",2017,22.1666129032258
"249",5,"HB_WEST",2018,27.6920161290323
"250",5,"HB_WEST",2019,22.7026612903226
"251",5,"LZ_AEN",2016,18.1249059139785
"252",5,"LZ_AEN",2017,25.2938440860215
"253",5,"LZ_AEN",2018,33.1661693548387
"254",5,"LZ_AEN",2019,24.6762365591398
"255",5,"LZ_CPS",2016,18.4798655913979
"256",5,"LZ_CPS",2017,26.5370295698925
"257",5,"LZ_CPS",2018,36.0555913978495
"258",5,"LZ_CPS",2019,26.2460752688172
"259",5,"LZ_HOUSTON",2016,19.9039919354839
