"","SettlementPoint","year","HourlyVolatility"
"1","HB_BUSAVG",2016,0.072406300757442
"2","HB_BUSAVG",2017,0.137462892625211
"3","HB_BUSAVG",2018,0.302084638018265
"4","HB_BUSAVG",2019,0.0905859098314728
"5","HB_HOUSTON",2016,0.0728451877041464
"6","HB_HOUSTON",2017,0.128607046774345
"7","HB_HOUSTON",2018,0.266341167112547
"8","HB_HOUSTON",2019,0.0729139162289756
"9","HB_HUBAVG",2016,0.073010624833256
"10","HB_HUBAVG",2017,0.150563431940111
"11","HB_HUBAVG",2018,0.312895224506093
"12","HB_HUBAVG",2019,0.0929773779185441
"13","HB_NORTH",2016,0.0720385417836461
"14","HB_NORTH",2017,0.126832745013026
"15","HB_NORTH",2018,0.297376537333658
"16","HB_NORTH",2019,0.0957597029229836
"17","HB_SOUTH",2016,0.0720580851817672
"18","HB_SOUTH",2017,0.144934008440718
"19","HB_SOUTH",2018,0.297596803832436
"20","HB_SOUTH",2019,0.0753142192298406
"21","HB_WEST",2016,0.0771659606762392
"22","HB_WEST",2017,0.375834703374368
"23","HB_WEST",2018,0.577249556739334
"24","HB_WEST",2019,0.246308205575879
"25","HB_BUSAVG",2016,0.224220031425627
"26","HB_BUSAVG",2017,0.14951723848949
"27","HB_BUSAVG",2018,0.0991824736514297
"28","HB_BUSAVG",2019,0.116474167785017
"29","HB_HOUSTON",2016,0.211504401658762
"30","HB_HOUSTON",2017,0.165135128900947
"31","HB_HOUSTON",2018,0.0950415100569947
"32","HB_HOUSTON",2019,0.102634053226673
"33","HB_HUBAVG",2016,0.237734202629436
"34","HB_HUBAVG",2017,0.189870634716458
"35","HB_HUBAVG",2018,0.10866652210427
"36","HB_HUBAVG",2019,0.11911501077082
"37","HB_NORTH",2016,0.212966315981284
"38","HB_NORTH",2017,0.114696628427037
"39","HB_NORTH",2018,0.0899827292825245
"40","HB_NORTH",2019,0.121291501032958
"41","HB_SOUTH",2016,0.217055571240008
"42","HB_SOUTH",2017,0.165768834006098
"43","HB_SOUTH",2018,0.109996053679969
"44","HB_SOUTH",2019,0.100381034913409
"45","HB_WEST",2016,0.342765834024069
"46","HB_WEST",2017,0.791576920680844
"47","HB_WEST",2018,0.215656988512106
"48","HB_WEST",2019,0.187192732448435
"49","HB_BUSAVG",2016,0.221660356032691
"50","HB_BUSAVG",2017,0.115102995554249
"51","HB_BUSAVG",2018,0.121667660533183
"52","HB_BUSAVG",2019,0.194731786207628
"53","HB_HOUSTON",2016,0.223000890134062
